launch_month,uber_market,Done
10/1/2010 0:00,San Francisco,X
5/1/2011 0:00,New York City,X
8/1/2011 0:00,Seattle,X
9/1/2011 0:00,Chicago,X
10/1/2011 0:00,Boston,X
12/1/2011 0:00,Washington D.C.,X
2/1/2012 0:00,Los Angeles,X
5/1/2012 0:00,Philadelphia,X
5/1/2012 0:00,San Diego,X
7/1/2012 0:00,Hamptons,X
8/1/2012 0:00,Atlanta,X
8/1/2012 0:00,Dallas,X
8/1/2012 0:00,Denver,X
10/1/2012 0:00,Minneapolis - St. Paul,X
11/1/2012 0:00,Phoenix,X
12/1/2012 0:00,Orange County,X
1/1/2013 0:00,Baltimore-Maryland,X
2/1/2013 0:00,Sacramento,X
3/1/2013 0:00,Detroit,X
5/1/2013 0:00,Napa,X
6/1/2013 0:00,Indianapolis,X
9/1/2013 0:00,Charlotte,X
10/1/2013 0:00,Rhode Island,X
10/1/2013 0:00,Santa Barbara,X
10/1/2013 0:00,Tucson,X
11/1/2013 0:00,Oklahoma City,X
12/1/2013 0:00,Columbus,X
12/1/2013 0:00,Honolulu,X
12/1/2013 0:00,Nashville,X
1/1/2014 0:00,Jacksonville,X
1/1/2014 0:00,Park City,X
2/1/2014 0:00,Fresno,X
2/1/2014 0:00,Houston,X
2/1/2014 0:00,Palm Springs,X
2/1/2014 0:00,Pittsburgh,X
3/1/2014 0:00,Cincinnati,X
3/1/2014 0:00,Madison,X
3/1/2014 0:00,Milwaukee,X
4/1/2014 0:00,Ann Arbor,X
4/1/2014 0:00,Cleveland,X
4/1/2014 0:00,Inland Empire,X
4/1/2014 0:00,Louisville,X
4/1/2014 0:00,New Jersey,X
4/1/2014 0:00,Raleigh-Durham,X
4/1/2014 0:00,San Antonio,X
4/1/2014 0:00,Tacoma,X
4/1/2014 0:00,Tampa Bay,X
4/1/2014 0:00,Tulsa,X
5/1/2014 0:00,Albuquerque,X
5/1/2014 0:00,Connecticut,X
5/1/2014 0:00,Eastern Shore,X
5/1/2014 0:00,Hampton Roads,X
5/1/2014 0:00,Kansas City,X
5/1/2014 0:00,Memphis,X
